year,FIPS,WaterSupply.Surface.Fresh,WaterSupply.Surface.Saline,WaterSupply.Surface.Total,WaterSupply.Ground.Fresh,WaterSupply.Ground.Saline,WaterSupply.Ground.Total,WaterSupply.Total.Abstraction,WaterSupply.Total.TotalUse,WaterSupply.OtherUnits,Household.Surface.Fresh,Household.Surface.Saline,Household.Ground.Fresh,Household.Ground.Saline,Household.Total.Abstraction,Household.OtherUnts,Household.TotalUse,Irrigation.Crop.Total.Abstraction,Irrigation.Crop.TotalUse,Irrigation.Golf.Total.Abstraction,Irrigation.Golf.TotalUse,Animal.Total.Abstraction,Animal.TotalUse,Aquaculture.Total.Abstraction,Aquaculture.TotalUse,Manufacturing.Total.Abstraction,Manufacturing.TotalUse,Mining.Total.Abstraction,Mining.TotalUse,E_TOTPOP,E_HU,E_HH,E_POV,E_UNEMP,E_PCI,E_NOHSDP,E_AGE65,E_AGE17,E_DISABL,E_SNGPNT,E_MINRTY,E_LIMENG,E_MUNIT,E_MOBILE,E_CROWD,E_NOVEH,E_GROUPQ,E_UNINSUR,E_DAYPOP
2000,37033,0.24,0,0.24,0.07,0,0.07,0.31,0.31,0,0,0,1.45,0,1.45,-1.45,0,1.17,1.17,0.17,0.17,0.15000000000000002,0.15000000000000002,0,0,0,0,0.14,0.14,22746,10778,9110,4273,698,22982,3424,4590,4311,4008,535,8833,227,151,2904,177,891,1046,1974,15537
2000,37035,17.09,0,17.09,0.98,0,0.98,18.07,18.07,0,0,0,4.33,0,4.33,-4.33,0,0.49,0.49,1.26,1.26,0.64,0.64,0,0,0,0,0.16,0.16,156729,68693,61099,20377,5453,26950,16024,26739,35357,22052,5030,37865,4129,3448,9668,1770,2987,2485,16819,172533
2000,37037,17.98,0,17.98,0.16,0,0.16,18.14,18.14,0,0,0,1.87,0,1.87,-1.87,0,0.5900000000000001,0.5900000000000001,0.52,0.52,4.01,4.01,0,0,0.49,0.49,0.5,0.5,69791,31555,28527,8241,1698,39299,6026,16306,14350,10548,1972,19869,2330,942,5203,483,1283,749,8246,53299
2000,37039,1.64,0,1.64,0.2,0,0.2,1.8399999999999999,1.8399999999999999,0,0,0,1.23,0,1.23,-1.23,0,0.17,0.17,0.12,0.12,0.060000000000000005,0.060000000000000005,0,0,0,0,0.04,0.04,27668,18104,11895,4516,702,22754,2912,7817,4771,5649,515,2417,153,30,3618,245,573,439,3829,26202
2000,37041,0,0,0,1.86,0,1.86,1.86,1.86,0,0,0,0.12,0,0.12,-0.12,0,2.48,2.48,0.16,0.16,0.28,0.28,0,0,0.64,0.64,0.01,0.01,14205,7301,5984,2715,664,24084,1682,3322,3001,2183,607,5710,0,163,1597,85,611,265,1655,13239
2000,37043,0,0,0,0.19,0,0.19,0.19,0.19,0,0,0,0.53,0,0.53,-0.53,0,0.08,0.08,0.24,0.24,0.06,0.06,0,0,0,0,0.05,0.05,10813,7309,5062,1700,105,26590,958,3172,1889,1986,174,680,46,116,1437,34,349,41,1570,8132
2000,37045,13.66,0,13.66,0.11,0,0.11,13.77,13.77,0,0,0,1.73,0,1.73,-1.73,0,0.33999999999999997,0.33999999999999997,1.21,1.21,0.9299999999999999,0.9299999999999999,0,0,2.42,2.42,0.16999999999999998,0.16999999999999998,97159,43579,36882,19262,4004,21920,10650,17418,21452,15736,3613,26192,493,1327,8420,758,2886,1679,11959,86904
2000,37047,0.61,0,0.61,2.67,0,2.67,3.28,3.28,0,0,0,2.78,0,2.78,-2.78,0,1.1400000000000001,1.1400000000000001,0.31,0.31,1.05,1.05,0,0,41.27,41.27,0,0,56293,26250,22306,12666,1487,22081,7262,10792,12179,10692,2371,22896,866,236,8234,529,1775,2991,7325,50522
2000,37049,0,0,0,12.49,0,12.49,12.49,12.49,0,0,0,1.01,0,1.01,-1.01,0,0.39,0.39,1.41,1.41,0.31000000000000005,0.31000000000000005,0,0,15.66,15.66,0.24000000000000002,0.24000000000000002,103082,46911,40871,14915,3513,28007,7957,18543,22768,15960,3657,35120,2195,2307,6393,946,2756,5081,10882,99325
2000,37051,34.88,0,34.88,4.85,0,4.85,39.730000000000004,39.730000000000004,0,0,0,3.12,0,3.12,-3.12,0,1.87,1.87,1.6400000000000001,1.6400000000000001,0.5900000000000001,0.5900000000000001,0,0,0,0,0.18,0.18,332106,145839,124418,57620,12513,24301,19001,37300,82520,51395,14690,185962,4618,16003,13122,2323,8127,15325,30795,324968
2000,37053,0,0,0,1.06,0,1.06,1.06,1.06,0,0,0,0.45,0,0.45,-0.45,0,0.6599999999999999,0.6599999999999999,0.94,0.94,0,0,0,0,0,0,0.14,0.14,25796,15557,10148,2562,608,30017,1980,3996,5742,3711,854,3304,83,76,2228,196,270,134,3464,20263
2000,37055,0.25,0,0.25,5.78,0,5.78,6.03,6.03,0,0,0,0.23,0,0.23,-0.23,0,0.02,0.02,0.54,0.54,0,0,0,0,0,0,0,0,35741,34515,15441,2929,1000,33550,1793,7181,6909,4775,965,4447,703,1582,1925,427,486,177,5293,37294
2000,37057,17.71,0,17.71,0,0,0,17.71,17.71,0,0,0,1.07,0,1.07,-1.07,0,0.89,0.89,0.87,0.87,0.76,0.76,0,0,0,0,0.25,0.25,164664,74311,65471,25064,5745,25109,19082,28859,36830,26141,5410,32116,3075,2213,11424,1588,3755,1935,18582,127861
2000,37059,3.15,0,3.15,0.01,0,0.01,3.1599999999999997,3.1599999999999997,0,0,0,0.87,0,0.87,-0.87,0,0.29,0.29,1.04,1.04,0.35,0.35,0,0,0,0,0.06,0.06,41991,18582,15999,5710,1125,29613,3979,8313,9038,6493,1132,6429,936,605,3457,436,470,368,4510,35286
2000,37061,0,0,0,5.82,0,5.82,5.82,5.82,0,0,0,1.75,0,1.75,-1.75,0,5.34,5.34,0.87,0.87,13.16,13.16,0,0,3.41,3.41,0.04,0.04,59062,25876,21781,14056,2419,19455,10317,10229,14388,11415,2012,28492,3898,410,9346,1000,1617,471,10488,50750
2000,37063,30.13,0,30.13,0.34,0,0.34,30.47,30.47,0,0,0,3.97,0,3.97,-3.97,0,0.22,0.22,1.74,1.74,0.04,0.04,0,0,0,0,0.21,0.21,306457,133429,123444,46805,8615,34063,24310,37056,65637,30212,13066,177023,16891,25717,1836,3433,9936,14266,36780,322678
2000,37065,3.02,0,3.02,0.61,0,0.61,3.63,3.63,0,0,0,2.46,0,2.46,-2.46,0,4.5,4.5,0.44,0.44,1.1099999999999999,1.1099999999999999,0,0,0,0,0.46,0.46,53332,24945,21371,12423,1868,20055,7438,9789,12202,8854,3423,33938,490,626,5961,732,2399,771,5903,47072
2000,37067,47.71,0,47.71,0.58,0,0.58,48.29,48.29,0,0,0,5.47,0,5.47,-5.47,0,0.47000000000000003,0.47000000000000003,3.08,3.08,0.11,0.11,0,0,0,0,0.31,0.31,371573,163382,146685,63652,11564,29921,27935,56532,86795,37783,14762,159729,10844,22174,6245,3097,10993,10733,40458,358550
2000,37069,2.06,0,2.06,0.28,0,0.28,2.34,2.34,0,0,0,2.57,0,2.57,-2.57,0,2.3899999999999997,2.3899999999999997,0.43,0.43,0.5,0.5,0,0,0,0,0.06999999999999999,0.06999999999999999,64902,28012,24749,9093,1731,26273,7114,10417,14574,10049,2018,23658,1171,366,7171,552,1276,1589,7142,47374
2000,37071,27.01,0,27.01,1.74,0,1.74,28.75,28.75,0,0,0,5.27,0,5.27,-5.27,0,0.35,0.35,1.55,1.55,0.3,0.3,0,0,3.07,3.07,0.04,0.04,216585,91779,81494,33324,7125,26069,22783,33757,49469,33579,7750,58421,2369,4326,10214,2219,4585,2906,23152,185502
2000,37073,0,0,0,0.84,0,0.84,0.84,0.84,0,0,0,0.1,0,0.1,-0.1,0,0.32,0.32,0,0,0.58,0.58,0,0,0,0,0,0,11563,5336,4477,1270,381,25334,1145,2213,2398,2514,301,4275,14,0,1735,70,203,52,974,7631
2000,37075,0.48,0,0.48,0.03,0,0.03,0.51,0.51,0,0,0,0.32,0,0.32,-0.32,0,0,0,0,0,0.02,0.02,0,0,0,0,0.03,0.03,8557,6017,3288,1524,236,19323,1151,1990,1755,1724,98,1129,47,72,1605,15,239,119,1448,6790
2000,37077,2.6,0,2.6,0.13,0,0.13,2.73,2.73,0,0,0,2.18,0,2.18,-2.18,0,2,2,0.27,0.27,0.2,0.2,0,0,0,0,0.14,0.14,58874,24069,21030,7781,1695,26228,6522,9519,12272,8981,2377,24620,838,382,5033,251,1053,3706,5115,51441
